origination_month,month_on_books,default_rate
2024-01,1,0.0
2024-01,2,0.0
2024-01,3,0.046489563567362426
2024-01,4,0.09392789373814042
2024-01,5,0.13282732447817835
2024-01,6,0.17077798861480076
2024-01,7,0.19639468690702086
2024-01,8,0.23244781783681215
2024-01,9,0.27609108159392787
2024-01,10,0.3206831119544592
2024-01,11,0.3548387096774194
2024-01,12,0.3548387096774194
2024-02,1,0.0
2024-02,2,0.0
2024-02,3,0.02833158447009444
2024-02,4,0.05981112277019937
2024-02,5,0.09968520461699895
2024-02,6,0.1259181532004197
2024-02,7,0.16789087093389296
2024-02,8,0.20671563483735572
2024-02,9,0.24868835257082897
2024-02,10,0.2812172088142707
2024-02,11,0.32633788037775446
2024-02,12,0.32633788037775446
2024-03,1,0.0
2024-03,2,0.0
2024-03,3,0.04630541871921182
2024-03,4,0.08472906403940887
2024-03,5,0.12315270935960591
2024-03,6,0.16354679802955666
2024-03,7,0.2019704433497537
2024-03,8,0.2374384236453202
2024-03,9,0.2768472906403941
2024-03,10,0.3221674876847291
2024-03,11,0.35763546798029555
2024-03,12,0.35763546798029555
2024-04,1,0.0
2024-04,2,0.0
2024-04,3,0.0455005055611729
2024-04,4,0.08291203235591507
2024-04,5,0.12335692618806876
2024-04,6,0.15874620829120323
2024-04,7,0.1890798786653185
2024-04,8,0.23053589484327602
2024-04,9,0.2730030333670374
2024-04,10,0.31445904954499493
2024-04,11,0.3569261880687563
2024-04,12,0.3569261880687563
2024-05,1,0.0
2024-05,2,0.0
2024-05,3,0.03804878048780488
2024-05,4,0.08
2024-05,5,0.13170731707317074
2024-05,6,0.17268292682926828
2024-05,7,0.22439024390243903
2024-05,8,0.2702439024390244
2024-05,9,0.30634146341463414
2024-05,10,0.344390243902439
2024-05,11,0.36878048780487804
2024-05,12,0.36878048780487804
2024-06,1,0.0
2024-06,2,0.0
2024-06,3,0.03394762366634336
2024-06,4,0.07856450048496605
2024-06,5,0.11348205625606207
2024-06,6,0.1600387972841901
2024-06,7,0.1988360814742968
2024-06,8,0.23666343355965083
2024-06,9,0.2812803103782735
2024-06,10,0.32492725509214354
2024-06,11,0.37536372453928224
2024-06,12,0.37536372453928224
2024-07,1,0.0
2024-07,2,0.0
2024-07,3,0.033
2024-07,4,0.072
2024-07,5,0.115
2024-07,6,0.154
2024-07,7,0.193
2024-07,8,0.231
2024-07,9,0.266
2024-07,10,0.306
2024-07,11,0.344
2024-07,12,0.344
2024-08,1,0.0
2024-08,2,0.0
2024-08,3,0.04178814382896016
2024-08,4,0.07871720116618076
2024-08,5,0.1185617103984451
2024-08,6,0.15451895043731778
2024-08,7,0.19436345966958213
2024-08,8,0.2293488824101069
2024-08,9,0.2662779397473275
2024-08,10,0.30903790087463556
2024-08,11,0.35179786200194363
2024-08,12,0.35179786200194363
2024-09,1,0.0
2024-09,2,0.0
2024-09,3,0.04467005076142132
2024-09,4,0.08629441624365482
2024-09,5,0.11065989847715736
2024-09,6,0.16040609137055836
2024-09,7,0.19796954314720813
2024-09,8,0.23045685279187816
2024-09,9,0.283248730964467
2024-09,10,0.32893401015228424
2024-09,11,0.3695431472081218
2024-09,12,0.3695431472081218
2024-10,1,0.0
2024-10,2,0.0
2024-10,3,0.04293193717277487
2024-10,4,0.0774869109947644
2024-10,5,0.11832460732984293
2024-10,6,0.1706806282722513
2024-10,7,0.2094240837696335
2024-10,8,0.2523560209424084
2024-10,9,0.2848167539267016
2024-10,10,0.32460732984293195
2024-10,11,0.36649214659685864
2024-10,12,0.36649214659685864
2024-11,1,0.0
2024-11,2,0.0
2024-11,3,0.031216361679224973
2024-11,4,0.06996770721205597
2024-11,5,0.11840688912809473
2024-11,6,0.16361679224973089
2024-11,7,0.19052744886975242
2024-11,8,0.21959095801937567
2024-11,9,0.25618945102260493
2024-11,10,0.3067814854682454
2024-11,11,0.35844994617868675
2024-11,12,0.35844994617868675
2024-12,1,0.0
2024-12,2,0.0
2024-12,3,0.044444444444444446
2024-12,4,0.08115942028985507
2024-12,5,0.1294685990338164
2024-12,6,0.16231884057971013
2024-12,7,0.20869565217391303
2024-12,8,0.24830917874396136
2024-12,9,0.2927536231884058
2024-12,10,0.3342995169082126
2024-12,11,0.3690821256038647
2024-12,12,0.3690821256038647
