user_id,age,annual_income,credit_score,employment_status
1,56,43690.33084814741,349,Employed
2,69,76884.14026730026,360,Employed
3,46,80811.35541605751,542,Employed
4,32,53145.54562240088,568,Employed
5,60,45705.701065178124,439,Employed
6,25,105238.01664439932,456,Self-Employed
7,38,70687.39689330134,575,Employed
8,56,80899.19376779345,330,Employed
9,36,44448.099704301814,307,Contractor
10,40,34517.88833694515,332,Employed
11,28,50763.755637697235,751,Employed
12,28,61899.465315250076,748,Employed
13,41,38394.49982956628,336,Contractor
14,53,64753.87978374043,333,Employed
15,57,22787.370298287497,754,Employed
16,41,36998.81443825319,743,Employed
17,20,81772.78120692188,536,Self-Employed
18,39,80094.76300694735,511,Self-Employed
19,19,55203.08086532834,439,Employed
20,41,39555.89227307617,660,Employed
21,61,39314.91121184973,603,Employed
22,47,55668.29385146715,595,Employed
23,55,81112.96229113228,451,Self-Employed
24,19,88206.14228360812,522,Employed
25,38,52586.70661295077,495,Employed
26,50,36162.6893503804,598,Employed
27,29,71696.09094665834,828,Employed
28,39,44411.62573435376,787,Employed
29,61,52043.68402846994,510,Contractor
30,42,98131.90226092594,531,Employed
31,66,85677.8857141442,666,Employed
32,44,68949.3578062863,780,Employed
33,59,33202.02497218193,478,Employed
34,45,70284.91418676647,783,Employed
35,33,91566.43226968816,794,Employed
36,32,55609.15835586161,846,Employed
37,64,98777.85224966788,315,Employed
38,68,97318.63223795517,765,Employed
39,61,106593.32080358683,701,Employed
40,69,72631.07816328382,593,Self-Employed
41,20,79684.79249515031,470,Employed
42,54,100354.68220827726,331,Contractor
43,68,76184.84842672439,562,Employed
44,24,52469.14730524468,514,Employed
45,38,53786.429086803466,488,Contractor
46,26,70963.87384434348,560,Employed
47,56,32735.96445134453,481,Employed
48,35,61418.52711589519,804,Employed
49,21,92413.67795575634,641,Self-Employed
50,42,20000.0,321,Employed
51,31,103362.05254486288,373,Employed
52,67,93059.355467579,465,Employed
53,26,53505.88460423809,533,Self-Employed
54,43,78584.77069679524,674,Employed
55,19,65078.69317265817,732,Employed
56,37,95749.75921096708,633,Employed
57,45,89567.07856924852,839,Self-Employed
58,64,29998.23192042477,334,Employed
59,24,79681.56033660442,743,Employed
60,61,59859.30365891881,530,Self-Employed
61,25,67070.8142629525,617,Employed
62,64,46795.70247575461,642,Employed
63,52,108703.42672802089,729,Contractor
64,31,91001.5454975644,765,Self-Employed
65,34,46505.72090067582,378,Employed
66,53,31634.73482724419,748,Employed
67,67,55358.18422555379,581,Employed
68,57,75862.56615228264,356,Contractor
69,21,71005.14609865558,490,Contractor
70,19,96328.32061920609,762,Employed
71,23,84747.9930545213,341,Employed
72,59,89239.22564382268,785,Self-Employed
73,21,73171.38501526094,472,Employed
74,46,30267.531744725246,549,Employed
75,35,60107.536721327466,809,Employed
76,43,91502.24349771664,801,Employed
77,61,63711.92678688385,492,Self-Employed
78,51,77577.25921559367,464,Contractor
79,27,57031.29211884667,389,Employed
80,53,39254.70378645387,357,Employed
81,31,61916.39839884724,562,Employed
82,48,72726.18607581635,542,Self-Employed
83,65,48607.80701346391,518,Employed
84,32,59107.218878583284,308,Employed
85,25,41513.41895035043,729,Employed
86,31,92981.1229391024,312,Employed
87,40,57638.60606029915,524,Employed
88,57,101318.88862815459,366,Contractor
89,38,103218.69626352271,802,Employed
90,33,62973.85088195641,483,Employed
91,62,39788.78168631626,507,Employed
92,35,20000.0,827,Employed
93,64,28199.07317433021,599,Employed
94,41,30654.1293775335,540,Employed
95,43,99461.74068653761,754,Self-Employed
96,42,67895.61468067365,829,Employed
97,62,74740.1131022997,543,Employed
98,58,20000.0,537,Employed
99,46,35050.83926956846,545,Self-Employed
100,32,87176.99441115718,644,Employed
101,62,72169.35280956466,783,Self-Employed
102,18,61319.86803286007,609,Employed
103,42,79121.05896500306,583,Employed
104,24,105894.94515339538,337,Employed
105,26,59473.938411573734,331,Contractor
106,41,66734.24506645174,542,Employed
107,18,69814.92296828263,591,Employed
108,61,124802.74088184981,591,Employed
109,25,20000.0,681,Employed
110,41,82080.5753697202,437,Employed
111,28,62129.94378102341,499,Employed
112,68,79169.29315460449,634,Employed
113,34,48565.68615013189,746,Employed
114,25,63775.87422853874,647,Employed
115,52,82785.26448663737,577,Employed
116,52,142822.755026096,831,Employed
117,50,85200.9047350518,698,Employed
118,22,43798.36004923728,690,Employed
119,59,54406.007949432416,309,Employed
120,56,53664.64729040365,848,Employed
121,58,20108.92068424962,358,Employed
122,45,56747.74520746407,387,Employed
123,24,83320.72704554362,758,Employed
124,26,33144.19702308012,403,Employed
125,25,91212.06627626481,403,Employed
126,29,77194.37052710846,553,Employed
127,51,46644.16695072406,634,Employed
128,50,61461.759066553816,762,Employed
129,65,104958.04519102583,848,Employed
130,40,83338.69533764664,600,Self-Employed
131,41,65219.591372453695,640,Employed
132,54,59057.91707597539,791,Contractor
133,52,66915.22676129149,383,Employed
134,61,52205.91105144241,558,Self-Employed
135,57,20000.0,659,Employed
136,39,116054.44776336827,386,Self-Employed
137,44,68883.12497998503,727,Employed
138,52,74953.68162806342,666,Employed
139,18,63552.30625307728,642,Employed
140,52,46622.0799818853,646,Contractor
141,54,60351.887976280734,395,Contractor
142,64,25015.13094514222,554,Employed
143,31,121927.16245133261,435,Employed
144,20,34137.2000394401,547,Employed
145,18,39200.842903820514,798,Employed
146,22,53993.51989033999,785,Employed
147,43,97201.89312130943,701,Contractor
148,31,65362.72498156635,711,Employed
149,56,34096.60509923844,747,Employed
150,44,96358.45901893348,546,Employed
151,26,83275.01566963704,720,Employed
152,32,78460.87393041131,423,Employed
153,32,82893.356029271,559,Employed
154,43,124859.04751456127,468,Employed
155,59,119627.3723759028,410,Employed
156,30,47832.11642491762,589,Employed
157,68,105597.12482027881,312,Employed
158,49,74579.20474397251,562,Self-Employed
159,56,77477.39540344373,322,Employed
160,66,22693.229208916782,499,Self-Employed
161,69,60740.3558652951,541,Employed
162,49,44679.41024158588,538,Employed
163,21,85701.47037233273,602,Employed
164,47,91777.01251007013,464,Employed
165,54,20000.0,475,Self-Employed
166,40,64449.12839989324,328,Employed
167,56,93046.5376198563,834,Employed
168,62,60333.02594216388,593,Employed
169,32,83226.59112505912,776,Employed
170,60,73779.1366906771,682,Employed
171,46,73541.50579881566,595,Employed
172,53,58217.12554829256,633,Employed
173,30,34585.479896607256,547,Employed
174,49,36961.746314374315,540,Employed
175,24,82733.81286138293,405,Employed
176,68,65486.45638797208,422,Employed
177,39,61537.19388481938,334,Employed
178,45,54402.74894194119,715,Employed
179,19,57370.278862981206,626,Employed
180,59,91172.79486220349,594,Employed
181,62,56618.89795329933,731,Contractor
182,23,31473.382167460783,646,Employed
183,45,83591.29438850434,336,Employed
184,45,59878.08340338207,811,Self-Employed
185,61,65784.8966383194,834,Employed
186,61,105189.45765998776,317,Employed
187,37,64485.98606623732,326,Employed
188,47,72229.59182796814,835,Self-Employed
189,28,35526.91271754187,328,Self-Employed
190,45,59508.263691226,416,Employed
191,42,80238.15113021503,431,Employed
192,56,26115.656653968945,588,Employed
193,50,70021.12732789274,535,Employed
194,18,67519.77681612015,341,Employed
195,44,66032.18638968599,459,Employed
196,69,90928.97246645608,424,Employed
197,30,73360.96287121304,559,Self-Employed
198,58,101951.79745891111,575,Employed
199,20,40160.262110149095,512,Employed
200,56,68398.1141804587,772,Self-Employed
201,23,67111.66965974869,730,Self-Employed
202,25,38268.637656123,379,Employed
203,44,88907.37505228365,527,Employed
204,26,123116.83264632046,394,Employed
205,54,64574.84813790423,723,Self-Employed
206,50,77625.52720684417,815,Employed
207,68,67112.96189538318,464,Employed
208,59,47160.38325232061,725,Employed
209,61,20000.0,341,Employed
210,41,47355.66292261587,702,Self-Employed
211,32,30201.04047620672,715,Employed
212,49,107602.55195147794,599,Employed
213,49,62122.25765191902,354,Employed
214,41,56352.01677382073,635,Employed
215,58,87228.84561969514,729,Employed
216,69,36956.2224286028,633,Self-Employed
217,66,45828.39904988619,705,Contractor
218,66,66701.80673121553,329,Employed
219,69,90719.22478558702,834,Employed
220,29,77542.1261292197,816,Contractor
221,56,71208.12856289705,520,Employed
222,19,66952.94338090041,793,Contractor
223,20,75005.89638816938,552,Employed
224,66,70041.32262823137,620,Employed
225,54,39250.693130576605,338,Employed
226,66,66151.98054082878,764,Self-Employed
227,34,38157.783527056185,710,Self-Employed
228,66,67027.0635725206,711,Employed
229,19,52983.80146279396,791,Employed
230,19,128484.54056957155,737,Employed
231,45,64002.6404062072,778,Employed
232,40,29894.01084346028,371,Employed
233,54,61645.494733076885,519,Employed
234,49,77983.9686409472,303,Employed
235,50,106834.0986538131,589,Employed
236,18,50263.69000153204,679,Employed
237,36,25439.300649409,654,Employed
238,19,85420.92528577453,379,Employed
239,61,30485.032352508722,365,Contractor
240,43,54096.11396231288,435,Employed
241,49,58559.48786222515,698,Employed
242,23,63259.1636674973,646,Employed
243,49,82229.11142685839,358,Contractor
244,21,47909.142942840306,818,Employed
245,28,58156.76869583098,536,Employed
246,34,64643.241176265285,378,Contractor
247,55,68739.9489379697,414,Employed
248,41,67445.67936769806,761,Employed
249,22,75900.1443805645,425,Employed
250,69,86095.98774104343,799,Self-Employed
251,51,74815.8528912742,401,Employed
252,23,76339.63808773046,473,Employed
253,39,25444.42083133806,751,Employed
254,28,66255.69247914202,391,Employed
255,65,76987.68870004022,684,Contractor
256,33,83223.52986426126,504,Employed
257,50,47691.23064415515,662,Employed
258,26,48524.01812778387,797,Contractor
259,23,50647.483117910044,836,Employed
260,33,78410.34749728358,533,Employed
261,46,90847.02637310521,315,Employed
262,20,54813.49731770996,440,Employed
263,37,87699.05784067622,719,Employed
264,53,68086.99522911485,755,Employed
265,36,61892.85557093909,599,Employed
266,43,59715.394254550774,638,Employed
267,20,83665.28411505393,602,Employed
268,36,73139.44541967675,375,Employed
269,37,121895.63569119094,615,Employed
270,49,43694.3839250669,799,Employed
271,24,77952.5425507494,374,Employed
272,69,51769.97475471218,665,Contractor
273,58,43267.825325283906,845,Contractor
274,50,64728.32157412569,695,Employed
275,57,68433.8119851759,530,Contractor
276,56,137954.3388765023,327,Contractor
277,35,60396.35460791995,774,Employed
278,57,36745.531762882914,594,Employed
279,18,71825.26793735965,726,Contractor
280,28,20000.0,390,Employed
281,45,62701.08043489335,414,Employed
282,42,65400.63205737901,458,Employed
283,67,84865.00957363029,557,Employed
284,40,89340.55623569617,672,Employed
285,48,52410.75952730706,389,Employed
286,47,61234.64963425168,597,Employed
287,59,45846.979234733226,330,Employed
288,52,36798.436129807655,657,Self-Employed
289,24,72747.36948451586,769,Employed
290,33,33160.36128508502,427,Employed
291,43,54634.32748570342,569,Employed
292,65,40120.651002519066,797,Employed
293,69,78742.07965725649,712,Contractor
294,66,110035.7524816622,508,Employed
295,19,32460.30042991672,605,Employed
296,18,20000.0,490,Employed
297,65,61877.82786624831,656,Employed
298,29,65392.44489894396,756,Employed
299,22,70466.48266893244,748,Employed
300,54,53841.98711914138,367,Employed
301,49,59984.0175293642,766,Employed
302,26,74187.76026351505,659,Contractor
303,58,91010.77231612097,686,Employed
304,52,20000.0,427,Employed
305,36,55776.514024213444,784,Self-Employed
306,65,70345.21984852658,543,Self-Employed
307,33,42050.597384731605,318,Employed
308,20,108279.2407941825,695,Contractor
309,37,49114.752994281575,528,Employed
310,41,63967.68282481793,667,Employed
311,50,78900.55242105728,357,Employed
312,41,50217.88027995264,580,Employed
313,69,20000.0,401,Employed
314,28,54283.636827086666,347,Employed
315,66,90736.01389817601,358,Employed
316,25,56577.621830371536,460,Self-Employed
317,53,43839.14246352554,402,Employed
318,55,88141.80523756804,711,Employed
319,57,56730.62759942368,482,Employed
320,37,52245.97965874457,716,Employed
321,52,68736.40224158273,415,Self-Employed
322,65,84268.75524046968,698,Employed
323,42,124542.83829331366,736,Employed
324,52,85680.90269143558,617,Employed
325,42,93995.9991597086,549,Self-Employed
326,46,52350.84502530361,746,Employed
327,35,39353.297350763096,796,Employed
328,63,66558.28374047807,642,Employed
329,35,67679.24788148991,726,Self-Employed
330,19,38037.18146588507,539,Employed
331,52,60617.63675239968,358,Contractor
332,33,74982.94004297827,826,Employed
333,58,74009.834875452,502,Employed
334,53,77607.19633460681,765,Employed
335,50,72274.11825343607,595,Employed
336,21,52324.7835182486,586,Self-Employed
337,50,52152.48433377892,372,Self-Employed
338,31,35026.2150501531,822,Employed
339,38,109619.37597962737,636,Employed
340,65,65336.259115482324,617,Contractor
341,37,59378.6736051287,502,Employed
342,25,41780.19796368854,530,Self-Employed
343,24,138391.44755819446,356,Contractor
344,20,38166.799194427615,719,Employed
345,34,54278.801859848165,579,Self-Employed
346,50,75395.9209071515,604,Employed
347,65,80005.32414360694,765,Employed
348,29,88948.3013803921,473,Employed
349,68,110190.21269423158,565,Employed
350,39,77653.9413865178,546,Employed
351,39,38599.23000083331,377,Self-Employed
352,63,58576.37187195546,552,Employed
353,47,72695.80931284712,774,Employed
354,55,116705.65103764558,475,Employed
355,55,30054.863039392578,720,Employed
356,62,95064.41263063069,760,Employed
357,68,69497.85923866041,553,Employed
358,25,85945.76338073701,819,Employed
359,44,62450.1320841017,406,Employed
360,44,43939.18424684184,470,Self-Employed
361,51,83771.81948503331,357,Employed
362,38,81360.77567764053,636,Employed
363,47,89301.42414349304,641,Contractor
364,50,64667.384115534114,589,Self-Employed
365,45,50004.449417003765,383,Employed
366,64,26030.325124403964,416,Employed
367,50,85484.33170348516,833,Self-Employed
368,22,75597.23706109964,518,Employed
369,65,40855.43417840102,401,Self-Employed
370,36,51535.65816758439,755,Employed
371,21,53331.029701213985,825,Employed
372,52,27925.389200439546,565,Employed
373,66,44557.94008487166,586,Employed
374,34,36654.241079841144,440,Employed
375,61,54688.02470280159,705,Employed
376,45,46532.562541760926,592,Employed
377,47,24324.876978331282,330,Contractor
378,46,115564.75576423704,470,Employed
379,63,96313.51827573076,654,Employed
380,23,45524.514462000356,504,Self-Employed
381,52,71810.53491634024,777,Employed
382,58,75436.62724553238,590,Employed
383,54,94777.14636933693,410,Employed
384,41,44534.87433349804,367,Employed
385,46,92302.66959956066,672,Employed
386,66,51302.36739482662,495,Contractor
387,63,31603.439895784664,425,Employed
388,48,83103.41398286243,561,Employed
389,52,97268.9606030607,454,Employed
390,50,129697.72433826711,407,Employed
391,69,35006.86837274466,722,Self-Employed
392,38,82472.99212701972,334,Employed
393,49,54754.96890516167,343,Employed
394,40,84583.96776310078,715,Employed
395,50,28237.761219218737,584,Employed
396,20,33430.7556075359,746,Employed
397,35,45603.129420837904,817,Employed
398,42,66974.1011417021,326,Employed
399,59,48972.96833654112,526,Contractor
400,48,81476.3585978355,724,Employed
401,20,90672.36545644786,667,Employed
402,57,79989.4385311339,609,Employed
403,63,105469.6909915217,404,Employed
404,41,75395.66573638357,317,Employed
405,67,34577.582241495824,504,Self-Employed
406,49,99084.41283845849,342,Employed
407,64,49871.09410985006,388,Employed
408,39,87760.46249213925,456,Contractor
409,40,104343.35541387767,565,Employed
410,19,76417.20026825999,433,Employed
411,44,27596.029670883756,763,Employed
412,59,42044.69583725521,431,Employed
413,19,98068.61167212839,333,Employed
414,43,60771.93285892959,382,Employed
415,34,66989.33837355414,431,Employed
416,57,83970.61040409023,727,Employed
417,50,82408.07155200808,503,Self-Employed
418,26,71969.99530963652,635,Self-Employed
419,60,59783.29071948835,796,Employed
420,65,57183.28885669107,741,Employed
421,56,86447.47063228357,557,Employed
422,46,78839.23827669483,591,Employed
423,59,58567.49998455526,424,Employed
424,43,92052.80782482852,474,Employed
425,52,61774.147121755406,791,Employed
426,67,43708.445641640166,379,Self-Employed
427,42,46025.73252741638,604,Employed
428,41,40531.479092255846,809,Contractor
429,30,58189.74958490782,643,Self-Employed
430,24,95843.10695840482,390,Employed
431,53,44872.62047423728,468,Employed
432,62,69711.89402545257,633,Employed
433,37,48582.76635931467,535,Employed
434,18,58492.27396821406,698,Employed
435,25,27248.969700368696,776,Employed
436,63,59486.54427108657,834,Employed
437,33,60157.36550487595,387,Employed
438,31,78507.19860089239,552,Contractor
439,29,70582.02283138427,657,Employed
440,68,35040.19687619887,357,Employed
441,40,92104.95610108857,698,Employed
442,32,70257.57600554988,820,Self-Employed
443,45,69959.83792943717,824,Employed
444,51,64770.44116537153,716,Self-Employed
445,19,52056.063819444505,692,Self-Employed
446,49,70445.05849371816,521,Self-Employed
447,40,76889.71089821456,628,Employed
448,39,21327.607716361126,671,Employed
449,68,51530.97906634761,810,Employed
450,42,58626.325739910266,452,Employed
451,39,71404.26514235695,779,Employed
452,39,94832.77514817815,319,Employed
453,66,45706.47963508044,527,Employed
454,69,52550.95382955395,645,Employed
455,59,52186.64723383625,318,Employed
